,count,mean,std,min,25%,50%,75%,max
combo_wake_sleep_lf_hf_fixed_total_min,213.0,473.9154929577465,60.41688813604671,268.0,432.0,474.0,516.0,598.0
combo_wake_sleep_lf_hf_fixed_valid_min,213.0,327.5211267605634,95.96724959563464,64.0,268.0,334.0,398.0,532.0
combo_wake_sleep_lf_hf_fixed_valid_pct,213.0,69.20328638497652,18.683484243800766,17.9,58.5,72.9,84.2,95.0
combo_wake_sleep_rmssd_mean_ms,213.0,36.92347385915493,22.050497876096298,20.535501,26.230981,30.722601,38.058177,213.801288
combo_wake_sleep_rmssd_median_ms,213.0,35.43042271361502,22.51808843887918,19.838415,25.631945,29.588311,35.222673,215.840917
combo_wake_sleep_sdnn_mean_ms,213.0,50.49054512206572,22.318737450783882,19.069962,36.941932,45.76781,56.951326,173.398274
combo_wake_sleep_sdnn_median_ms,213.0,45.44052269483567,22.57393902933923,16.138863,30.991885,40.392322,51.793104,162.73854
combo_wake_sleep_sleep_hours,213.0,7.9154016478873235,1.00772907727653,4.467778,7.208056,7.928611,8.621389,9.999444
prv_tv_rmssd_ms_valid_min,211.0,211.01232227488154,75.18520713044572,14.1,165.14999999999998,217.4,259.79999999999995,391.2
prv_tv_rmssd_ms_valid_pct,211.0,44.44549763033175,15.181938395398033,3.9,34.599999999999994,46.8,55.4,73.9
